Institute name,Area,City,Course Focus,Aws and devops,Java full stack,Data science and AI,python,Target Audience,Faculty Expertise,Training Methodology,Placement Rate,Average Salary in lpa,Placement Support,Internship Opportunities,Certifications Offered,review out of 5,minfee,maxfee
social prachar,kphb,hyderabad,"java full stack,data science and ai,aws and devops,all full stack trainings,data analytics",yes,yes,yes,yes,eligible for every graduate,well qualified,online and  offline training,good,3.5,"resume preparation,linkedin  profile creation,soft skills training",yes,yes,4.7,20000.0,45000.0
veda it,jntu university,hyderabad,"java ful stack,data analytics,manual testing,python full stack,",yes,yes,yes,yes,freshers and experience,experience,online and  offline training,good,4.0,soft skills training,yes,yes,3.9,50000.0,80000.0
crs info solutions,ammerpet,hyderabad,"devops automation,devops engineers,rpa training,mobile app development,data analytics,sales force administration trianing",yes,no,no,no,freshers and experience,experience,online and  offline training,good,3.5,"interview preparation,job placement assistance,maintainance services",yes,yes,4.0,5000.0,7000.0
naresh i technologies,ammerpet and kphb,hyderabad,"advanced java training,angular raining,azure devops,core java,data science,full sack ne core,ai,hadoop course,php with msql ,sql server raining,selenium,ui full sack,",yes,yes,yes,yes,freshers and experience and carrer gap,experience,online and  offline training,average,3.0,"job placement assistance,project training,resume preperation",yes,yes,4.5,1999.0,10000.0
sapfico infinity world,ammerpet,hyderabad,"software testing,sa fico training",no,yes,no,no,freshers and experience,experience,online and  offline training,good,3.3,"real time projects,resume preperation,interview training",no,yes,3.0,25000.0,75000.0
sivasoft technologies,ammerpet,hyderabad,"advanced excel training,java,angular js,aws,big data analytics,c language,data analysis,data science,database services,django,dtp training,graphic designing,mern stack,python,ui",no,yes,yes,yes,eligible for every graduate,experience,online and  offline training,good,3.0,"resume preparation,linkedin  profile creation,portfolio website creation",yes,yes,4.0,7000.0,40000.0
sathya technologies,ammerpet,hyderabad,".net full stack developer,3d animation,amazon aws cloud,angular training,application designing,automated testing,block chain course,java,data analytics,data science,django course,handoop,python,ui",yes,yes,yes,yes,freshers and experience and carrergap,experience,online and  offline training,average,3.0,"weekened training, workshops,jobs/soft skill training                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ",yes,yes,4.0,5000.0,25000.0
vagdevi technologies,ammerpet,hyderabad,"python,auto cad training,aws training,big data analytics,data science,django,full stack courses,graphic desiging,java,powerbi,sql,ui development",yes,yes,yes,yes,freshers and experience,experience,online and  offline training,good,3.8,"industry connection,resume building assistance,mock interviews,carrer counselling",no,yes,3.5,15000.0,30000.0
ashok technologies,ammerpet,hyderabad,"java,spring boo,devops with aws,react js,python",yes,yes,no,yes,freshers and experience,experience,online and  offline training,good,2.7,"weekened training, workshops,jobs/soft skill training                                                                                                                                                                                                          ",yes,yes,4.3,8000.0,30000.0
dreams media solution,ammerpet,hyderabad,"2d drafting,3d modeling,3ds max,java,autocad,c languaga,python,graphic designing,machine learning,web designing",no,yes,no,yes,freshers and experience,experience,online and  offline training,good,3.0,job placement assistance,no,yes,4.2,9000.0,12500.0
stansys software solutions,sr nagar,hyderabad,"azure,devops,machine learning,manual  tesing,sofware tesing,power bi",yes,no,yes,no,freshers and experience,experience,online and  offline training,average,3.0,"placement assistance,real word scenarios",no,yes,4.1,1000.0,3500.0
best it academy,kothapet,hyderabad,"data analytics ,r programming,data science,full stack development,java,powerbi,python,sql,web development",no,yes,yes,yes,freshers and experience,experience,online and  offline training,good,3.0,placement assistance,no,yes,4.0,2000.0,10000.0
tcs ion trainig center,dilsukhnagar,hyderabad,"java,andriod,apache tomcat,big data hadoop,c++ programming,core java,data science,devops,msexcel,oracle,php,plsql,python,rpa,unix",yes,yes,yes,yes,corporates,experience,online and  offline training,good,3.0,"carrer guidance,placement assistance",yes,yes,4.2,2000.0,20000.0
magneq software,ammerpet,hyderabad,"business analysis,data warehousing,web applications,data science,full stack java,dot net,python,software testing",yes,yes,yes,yes,freshers and experience,experience,online and  offline training,good,3.0,job placement assistance,no,yes,3.5,12000.0,30000.0
sv infotech,dilsukhnagar,hyderabad,"java full stack,python full stack,web devalaper,digital marketing,data science,aws",yes,yes,no,yes,freshers and experience,experience,online and  offline training,good,3.0,job placement assistance,no,yes,4.5,25000.0,35000.0
miit computer education,hayathnagar,hyderabad,"python,core java, devops,dot net,frontend,data science,digital maeketing,web designing,cloud computing,c++ programming",yes,yes,yes,yes,freshers and experience,experience,online and  offline training,good,4.0,job placement assistance,no,yes,4.8,40000.0,60000.0
data minds analytics,ammerpet,hyderabad,"python,data science and ai,powerbi,data analytics,digital marketing, cloud computing,block chain",no,no,yes,yes,freshers and experience,experience,online and  offline training,good,3.0,job placement assistance,yes,yes,4.4,20000.0,32500.0
emeregent methodology pvt ltd,as rao nagar,hyderabad,"c programming,c++,core java,dot net,ethical hacking,hadops,python",no,yes,no,yes,freshers and experience,experience,offline training,good,2.7,job placement assistance,no,yes,4.0,20000.0,30000.0
creative multimedia academy,dilsukhnagar,hyderabad,"ui , ux ,vfx,animation,web devalopment,graphic design",no,no,no,no,freshers and experience,experience,online and  offline training,good,4.0,high profile placement,yes,yes,4.5,10000.0,20000.0
nys innovations,kompally,hyderabad,"python,java,devops data science, data analytics,full stack,ai,aws,cloud computing",yes,yes,yes,yes,freshers and experience,experience,online and  offline training,good,3.0,job placement assistance,yes,yes,4.5,30000.0,50000.0
websoft technologies,dilsukhnagar,hyderabad,"data science ,devops,sql,full stack,python,java,aws,",yes,yes,yes,yes,freshers and experience,experience,offline training,average,4.0,job placement assistance,yes,yes,4.5,40000.0,50000.0
